id,name,createdOn,createdBy,etag,type,currentVersion,parentId,benefactorId,projectId,modifiedOn,modifiedBy,dataFileHandleId,dataFileSizeBytes,dataFileMD5Hex,Component,Uuid,age,ageUnit,aliquotID,assay,cellType,comments,dataSubtype,dataType,diagnosis,dissociationMethod,eTag,entityId,experimentalCondition,experimentalTimepoint,fileFormat,fundingAgency,genePerturbationTechnology,genePerturbationType,genePerturbed,individualID,initiative,isCellLine,isPrimaryCell,isStranded,libraryPrep,libraryPreparationMethod,modelSystemName,nf1Genotype,nf2Genotype,nucleicAcidSource,organ,parentSpecimenID,platform,progressReportNumber,readDepth,readLength,readPair,readPairOrientation,readStrandOrigin,resourceType,runType,sex,species,specimenID,specimenPreparationMethod,studyId,timePointUnit,tissue,transplantationRecipientSpecies,transplantationType,tumorType,studyName
syn33396075,GSM5420941,1658525829016,3342573,5072f28a-f17c-45f4-b3bc-d8a0dfd7a9c4,file,1,syn33393859,syn11681835,syn11681835,1679363129506,3421893,99505750,NA,NA,GenomicsAssayTemplateExtended,db7fd4eb-8ff8-437a-b02b-cfae82ab09d6,NA,NA,NA,RNA-seq,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364647,raw,geneExpression,Neurofibromatosis type 1,NA,NA,syn33396075,DMSO,4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_DMSO_rep1,Francis S. Collins Scholars Program,Yes,NA,Yes,polyAselection,TruSeq,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,50,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_DMSO_rep1,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396077,GSM5420942,1658525830650,3342573,44f6c8e7-7fdb-4b34-87cd-d4d96db2d0fb,file,1,syn33393859,syn11681835,syn11681835,1679363129568,3421893,99505752,NA,NA,GenomicsAssayTemplateExtended,fc706325-92d7-4ec7-a266-9de214be335a,NA,NA,NA,RNA-seq,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364648,raw,geneExpression,Neurofibromatosis type 1,NA,NA,syn33396077,DMSO,4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_DMSO_rep2,Francis S. Collins Scholars Program,Yes,NA,Yes,polyAselection,TruSeq,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,50,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_DMSO_rep2,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396079,GSM5420943,1658525832284,3342573,b53caee8-bd7f-49bd-8dc3-4662209bbda2,file,1,syn33393859,syn11681835,syn11681835,1679363129631,3421893,99505754,NA,NA,GenomicsAssayTemplateExtended,cf248bdc-3bc6-46a9-b8dc-f7141b1787f8,NA,NA,NA,RNA-seq,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364649,raw,geneExpression,Neurofibromatosis type 1,NA,NA,syn33396079,PBS,4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_PBS_rep1,Francis S. Collins Scholars Program,Yes,NA,Yes,polyAselection,TruSeq,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,50,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_PBS_rep1,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396082,GSM5420944,1658525833735,3342573,d7e24344-eb48-4c24-9cf6-0efdb06ce2b1,file,1,syn33393859,syn11681835,syn11681835,1679363129691,3421893,99505757,NA,NA,GenomicsAssayTemplateExtended,4e768f98-94af-4110-8881-2212e2549f8a,NA,NA,NA,RNA-seq,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364650,raw,geneExpression,Neurofibromatosis type 1,NA,NA,syn33396082,PBS,4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_PBS_rep2,Francis S. Collins Scholars Program,Yes,NA,Yes,polyAselection,TruSeq,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,50,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_PBS_rep2,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396083,GSM5420945,1658525835221,3342573,3b71c388-0d78-4591-a0dc-dfd4afb557d9,file,1,syn33393859,syn11681835,syn11681835,1679363129752,3421893,99505758,NA,NA,GenomicsAssayTemplateExtended,36bf709e-12e9-42b6-9899-bbea56e92372,NA,NA,NA,RNA-seq,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364651,raw,geneExpression,Neurofibromatosis type 1,NA,NA,syn33396083,4000 nM GSK862,4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_GSK862_rep1,Francis S. Collins Scholars Program,Yes,NA,Yes,polyAselection,TruSeq,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,50,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_GSK862_rep1,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396085,GSM5420946,1658525836618,3342573,c6f297b3-72fa-411d-a562-54bbc515470e,file,1,syn33393859,syn11681835,syn11681835,1679363129807,3421893,99505761,NA,NA,GenomicsAssayTemplateExtended,43926742-70eb-4ec3-8a25-244e056a938a,NA,NA,NA,RNA-seq,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364652,raw,geneExpression,Neurofibromatosis type 1,NA,NA,syn33396085,4000 nM GSK862,4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_GSK862_rep2,Francis S. Collins Scholars Program,Yes,NA,Yes,polyAselection,TruSeq,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,50,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_GSK862_rep2,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396087,GSM5420947,1658525838035,3342573,e1e59a8d-e4af-415e-9230-7e858c04949c,file,1,syn33393859,syn11681835,syn11681835,1679363129867,3421893,99505762,NA,NA,GenomicsAssayTemplateExtended,938d84b1-7303-429e-adab-5f66154824cb,NA,NA,NA,RNA-seq,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364653,raw,geneExpression,Neurofibromatosis type 1,NA,NA,syn33396087,50 nM Decitabine (DAC),4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_DAC_rep1,Francis S. Collins Scholars Program,Yes,NA,Yes,polyAselection,TruSeq,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,50,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_DAC_rep1,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396089,GSM5420948,1658525839767,3342573,b06fc77d-e2e4-4ef1-b301-df3e475a1595,file,1,syn33393859,syn11681835,syn11681835,1679363129926,3421893,99505764,NA,NA,GenomicsAssayTemplateExtended,1dbc5f56-31ab-4b47-8069-76e5441649a1,NA,NA,NA,RNA-seq,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364654,raw,geneExpression,Neurofibromatosis type 1,NA,NA,syn33396089,50 nM Decitabine (DAC),4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_DAC_rep2,Francis S. Collins Scholars Program,Yes,NA,Yes,polyAselection,TruSeq,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,50,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_DAC_rep2,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396093,GSM5420949,1658525841512,3342573,891d7f6d-bb44-40a3-81df-c45755dde893,file,1,syn33393859,syn11681835,syn11681835,1679363129984,3421893,99505768,NA,NA,GenomicsAssayTemplateExtended,697d3756-7312-401d-89c6-be71ad93722d,NA,NA,NA,RNA-seq,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364655,raw,geneExpression,Neurofibromatosis type 1,NA,NA,syn33396093,DMSO,4,fastq,NTAP,CRISPR,knockdown,SUZ12,sgSUZ12_DMSO_rep1,Francis S. Collins Scholars Program,Yes,NA,Yes,polyAselection,TruSeq,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,50,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgSUZ12_DMSO_rep1,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396095,GSM5420950,1658525842748,3342573,6237dc36-9870-4317-a5b5-3800ba08e4ba,file,1,syn33393859,syn11681835,syn11681835,1679363130045,3421893,99505770,NA,NA,GenomicsAssayTemplateExtended,43a92ab6-a839-441e-8208-161f9c3acae0,NA,NA,NA,RNA-seq,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364656,raw,geneExpression,Neurofibromatosis type 1,NA,NA,syn33396095,DMSO,4,fastq,NTAP,CRISPR,knockdown,SUZ12,sgSUZ12_DMSO_rep2,Francis S. Collins Scholars Program,Yes,NA,Yes,polyAselection,TruSeq,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,50,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgSUZ12_DMSO_rep2,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
