id,name,createdOn,createdBy,etag,type,currentVersion,parentId,benefactorId,projectId,modifiedOn,modifiedBy,dataFileHandleId,dataFileSizeBytes,dataFileMD5Hex,Component,Uuid,age,ageUnit,aliquotID,assay,cellType,comments,dataSubtype,dataType,diagnosis,dissociationMethod,eTag,entityId,experimentalCondition,experimentalTimepoint,fileFormat,fundingAgency,genePerturbationTechnology,genePerturbationType,genePerturbed,individualID,initiative,isCellLine,isPrimaryCell,isStranded,libraryPrep,libraryPreparationMethod,modelSystemName,nf1Genotype,nf2Genotype,nucleicAcidSource,organ,parentSpecimenID,platform,progressReportNumber,readDepth,readLength,readPair,readPairOrientation,readStrandOrigin,resourceType,runType,sex,species,specimenID,specimenPreparationMethod,studyId,timePointUnit,tissue,transplantationRecipientSpecies,transplantationType,tumorType,studyName
syn33396142,GSM5420957,1658525889716,3342573,170de22e-d7ab-4282-9570-f0723d4292ae,file,1,syn33393893,syn11681835,syn11681835,1679362338297,3421893,99505817,NA,NA,GenomicsAssayTemplateExtended,3338002f-f5f7-4668-8b54-116600ef5e23,NA,NA,NA,bisulfite sequencing,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364766,raw,chromatinActivity,Neurofibromatosis type 1,NA,NA,syn33396142,DMSO,4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_DMSO_methyl_rep1,Francis S. Collins Scholars Program,Yes,NA,NA,NA,KAPA HyperPrep Kit PCR-free,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,100,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_DMSO_methyl_rep1,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396143,GSM5420958,1658525891021,3342573,0d5e7402-ef0f-4ac7-97d9-93f3eed50590,file,1,syn33393893,syn11681835,syn11681835,1679362338362,3421893,99505818,NA,NA,GenomicsAssayTemplateExtended,b47b3034-779f-4f58-9ef1-ee765ad30ce6,NA,NA,NA,bisulfite sequencing,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364767,raw,chromatinActivity,Neurofibromatosis type 1,NA,NA,syn33396143,DMSO,4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_DMSO_methyl_rep2,Francis S. Collins Scholars Program,Yes,NA,NA,NA,KAPA HyperPrep Kit PCR-free,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,100,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_DMSO_methyl_rep2,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396144,GSM5420959,1658525892673,3342573,0b14440b-aa9d-44f1-bb58-e9991ee6be30,file,1,syn33393893,syn11681835,syn11681835,1679362338426,3421893,99505820,NA,NA,GenomicsAssayTemplateExtended,9791c3fe-3a64-49ef-ad3f-a5de589874e4,NA,NA,NA,bisulfite sequencing,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364768,raw,chromatinActivity,Neurofibromatosis type 1,NA,NA,syn33396144,PBS,4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_PBS_methyl_rep1,Francis S. Collins Scholars Program,Yes,NA,NA,NA,KAPA HyperPrep Kit PCR-free,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,100,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_PBS_methyl_rep1,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396146,GSM5420960,1658525894153,3342573,4610e9e1-1b56-4238-986d-658dff5837fa,file,1,syn33393893,syn11681835,syn11681835,1679362338489,3421893,99505821,NA,NA,GenomicsAssayTemplateExtended,65884a95-d8b9-4e90-a8b3-9ca919421669,NA,NA,NA,bisulfite sequencing,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364769,raw,chromatinActivity,Neurofibromatosis type 1,NA,NA,syn33396146,PBS,4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_PBS_methyl_rep2,Francis S. Collins Scholars Program,Yes,NA,NA,NA,KAPA HyperPrep Kit PCR-free,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,100,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_PBS_methyl_rep2,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396147,GSM5420961,1658525895798,3342573,39860e50-b4bd-4cc3-a909-96bc25d82de6,file,1,syn33393893,syn11681835,syn11681835,1679362338550,3421893,99505822,NA,NA,GenomicsAssayTemplateExtended,24056db2-05c5-40c3-bc6e-446029d7dbba,NA,NA,NA,bisulfite sequencing,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364770,raw,chromatinActivity,Neurofibromatosis type 1,NA,NA,syn33396147,4000 nM GSK862,4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_GSK862_methyl_rep1,Francis S. Collins Scholars Program,Yes,NA,NA,NA,KAPA HyperPrep Kit PCR-free,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,100,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_GSK862_methyl_rep1,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396148,GSM5420962,1658525897319,3342573,df9b6951-84e0-4786-a19c-df1f51ba5086,file,1,syn33393893,syn11681835,syn11681835,1679362338612,3421893,99505823,NA,NA,GenomicsAssayTemplateExtended,a9c97876-c6f4-4dc5-ac2e-2c9af46a2c55,NA,NA,NA,bisulfite sequencing,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364771,raw,chromatinActivity,Neurofibromatosis type 1,NA,NA,syn33396148,4000 nM GSK862,4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_GSK862_methyl_rep2,Francis S. Collins Scholars Program,Yes,NA,NA,NA,KAPA HyperPrep Kit PCR-free,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,100,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_GSK862_methyl_rep2,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396149,GSM5420963,1658525898738,3342573,986a8c0b-7f91-4810-83ac-fc45cd731740,file,1,syn33393893,syn11681835,syn11681835,1679362338666,3421893,99505824,NA,NA,GenomicsAssayTemplateExtended,f6ee6545-e527-4870-9def-b1b05ad0e860,NA,NA,NA,bisulfite sequencing,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364773,raw,chromatinActivity,Neurofibromatosis type 1,NA,NA,syn33396149,50 nM Decitabine (DAC),4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_DAC_methyl_rep1,Francis S. Collins Scholars Program,Yes,NA,NA,NA,KAPA HyperPrep Kit PCR-free,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,100,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_DAC_methyl_rep1,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396150,GSM5420964,1658525900529,3342573,1db9e43b-f371-4e16-9c80-357c6172ef30,file,1,syn33393893,syn11681835,syn11681835,1679362338727,3421893,99505825,NA,NA,GenomicsAssayTemplateExtended,b8555c37-1b0a-46d6-b22e-8bc69ead3416,NA,NA,NA,bisulfite sequencing,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364774,raw,chromatinActivity,Neurofibromatosis type 1,NA,NA,syn33396150,50 nM Decitabine (DAC),4,fastq,NTAP,CRISPR,non-targeting control,NA,sgCon_DAC_methyl_rep2,Francis S. Collins Scholars Program,Yes,NA,NA,NA,KAPA HyperPrep Kit PCR-free,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,100,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgCon_DAC_methyl_rep2,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396151,GSM5420965,1658525901782,3342573,6d132a3b-640b-4d86-846c-f6fbec323480,file,1,syn33393893,syn11681835,syn11681835,1679362338786,3421893,99505826,NA,NA,GenomicsAssayTemplateExtended,81f4bdc4-b337-45b0-bfb5-034d0b35717d,NA,NA,NA,bisulfite sequencing,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364775,raw,chromatinActivity,Neurofibromatosis type 1,NA,NA,syn33396151,DMSO,4,fastq,NTAP,CRISPR,knockout,SUZ12,sgSUZ12_DMSO_methyl_rep1,Francis S. Collins Scholars Program,Yes,NA,NA,NA,KAPA HyperPrep Kit PCR-free,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,100,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgSUZ12_DMSO_methyl_rep1,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
syn33396153,GSM5420966,1658525903592,3342573,cdd02455-0282-4f0e-b8fd-f7b9cfd6ff2d,file,1,syn33393893,syn11681835,syn11681835,1679362338846,3421893,99505828,NA,NA,GenomicsAssayTemplateExtended,62bde35c-85ff-468f-8e10-7c85dcef6305,NA,NA,NA,bisulfite sequencing,NA,https://www.ncbi.nlm.nih.gov/sra?term=SRX11364776,raw,chromatinActivity,Neurofibromatosis type 1,NA,NA,syn33396153,DMSO,4,fastq,NTAP,CRISPR,knockout,SUZ12,sgSUZ12_DMSO_methyl_rep2,Francis S. Collins Scholars Program,Yes,NA,NA,NA,KAPA HyperPrep Kit PCR-free,M3 MPNST,-/-,Unknown,bulk cell,NA,NA,Illumina HiSeq 2500,6,NA,100,NA,NA,NA,experimentalData,pairedEnd,Unknown,Homo sapiens,sgSUZ12_DMSO_methyl_rep2,Fresh collected,syn11681835,days,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,Novel therapeutic development of NF1-associated malignant peripheral nerve sheath tumor (MPNST)
