id,name,createdOn,createdBy,etag,age,assay,caseNumber,comments,dataSubtype,dataType,diagnosis,fileFormat,fundingAgency,genePerturbationTechnology,genePerturbationType,genePerturbed,individualID,initiative,isCellLine,isMultiIndividual,isMultiSpecimen,isPrimaryCell,modelSystemName,nf1Genotype,nf2Genotype,organ,platform,resourceType,runType,sex,species,specimenID,specimenIdSource,studyId,studyName,studySite,tissue,transplantationDonorSpecies,transplantationDonorTissue,transplantationRecipientTissue,transplantationType,tumorType,workflow,workflowLink,accessTeam,accessType,data_type,description,modifiedOn,modifiedBy,path,type,currentVersion,parentId,benefactorId,projectId,dataFileHandleId,dataFileName,dataFileSizeBytes,dataFileMD5Hex,dataFileConcreteType,dataFileBucket,dataFileKey
syn8032708,NF1-P53T_R1.fastq.gz,1484668470653,3345630,febc4614-30f7-42f8-bdf9-ea33c1af355a,NA,whole exome sequencing,NA,NA,raw,genomicVariants,Neurofibromatosis type 1,fastq,NTAP,NA,NA,NA,NF1-P53,Francis S. Collins Scholars Program,No,No,No,TRUE,NF1-P53,+/-,+/+,skin,Illumina HiSeq 2500,experimentalData,NA,NA,Mus musculus,NF1-P53T,NA,syn4939910,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,NA,primary tumor,NA,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,NA,NA,273948,PUBLIC,NA,NA,1679363327058,3421893,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1 - a clinical translational approach/Data/Whole Exome Sequencing of Mouse Samples/NF1-P53T_R1.fastq.gz,file,2,syn8030946,syn8030946,syn4939910,14410608,NF1-P53T_R1.fastq.gz,2970173677,85bd7ea4f7f15b5eb8d754bf7dd01d41,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3345630/a0d56193-eb7e-48b4-802e-5ba9a53f6689/NF1-P53T_R1.fastq.gz
syn8032709,NF1-P53T_R2.fastq.gz,1484668675328,3345630,48cb2ed8-10d5-4d84-a5df-5d6b4510046e,NA,whole exome sequencing,NA,NA,raw,genomicVariants,Neurofibromatosis type 1,fastq,NTAP,NA,NA,NA,NF1-P53,Francis S. Collins Scholars Program,No,No,No,TRUE,NF1-P53,+/-,+/+,skin,Illumina HiSeq 2500,experimentalData,NA,NA,Mus musculus,NF1-P53T,NA,syn4939910,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,NA,primary tumor,NA,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,NA,NA,273948,PUBLIC,NA,NA,1679363327111,3421893,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1 - a clinical translational approach/Data/Whole Exome Sequencing of Mouse Samples/NF1-P53T_R2.fastq.gz,file,2,syn8030946,syn8030946,syn4939910,14410609,NF1-P53T_R2.fastq.gz,3053467253,c9e99cc3b200b8459076bccecc0519a6,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3345630/214d060d-b638-45ec-a082-1e282c5c1a29/NF1-P53T_R2.fastq.gz
syn8032731,NF1-METblood_R1.fastq.gz,1484668981794,3345630,448ce85c-393a-4482-9995-9d16f5429874,NA,whole exome sequencing,NA,NA,raw,genomicVariants,Neurofibromatosis type 1,fastq,NTAP,CRE Recombinase,knockout,"NF1,MET",NF1-MET,Francis S. Collins Scholars Program,No,No,No,TRUE,NF1-MET,-/-,+/+,blood,Illumina HiSeq 2500,experimentalData,NA,NA,Mus musculus,NF1-METblood,NA,syn4939910,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,NA,blood,NA,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,NA,NA,273948,PUBLIC,NA,NA,1679363327163,3421893,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1 - a clinical translational approach/Data/Whole Exome Sequencing of Mouse Samples/NF1-METblood_R1.fastq.gz,file,1,syn8030946,syn8030946,syn4939910,14410642,NF1-METblood_R1.fastq.gz,3091588736,17ba17153f4d9ff0ed13af67549b3411,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3345630/71cfd02c-3dc6-428a-96bb-0cb6d4f7eb52/NF1-METblood_R1.fastq.gz
syn8032745,NF1-METblood_R2.fastq.gz,1484669177650,3345630,9defe6eb-6eec-4d4f-8f9a-668aabbffcf9,NA,whole exome sequencing,NA,NA,raw,genomicVariants,Neurofibromatosis type 1,fastq,NTAP,CRE Recombinase,knockout,"NF1,MET",NF1-MET,Francis S. Collins Scholars Program,No,No,No,TRUE,NF1-MET,-/-,+/+,blood,Illumina HiSeq 2500,experimentalData,NA,NA,Mus musculus,NF1-METblood,NA,syn4939910,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,NA,blood,NA,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,NA,NA,273948,PUBLIC,NA,NA,1679363327210,3421893,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1 - a clinical translational approach/Data/Whole Exome Sequencing of Mouse Samples/NF1-METblood_R2.fastq.gz,file,1,syn8030946,syn8030946,syn4939910,14410659,NF1-METblood_R2.fastq.gz,3209832421,81b979351dd92e572816be3aeb7a1179,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3345630/a2fce94b-7819-4201-8257-5e9c7c0681bd/NF1-METblood_R2.fastq.gz
syn8032754,NF1-METtcells_R1.fastq.gz,1484669349501,3345630,2313569a-f0bc-4347-8987-7a6e02359552,NA,whole exome sequencing,NA,Tissue did not pass QC checks,raw,genomicVariants,Neurofibromatosis type 1,fastq,NTAP,CRE Recombinase,knockout,"NF1,MET",NF1-MET,Francis S. Collins Scholars Program,No,No,No,TRUE,NF1-MET,-/-,+/+,skin,Illumina HiSeq 2500,experimentalData,NA,NA,Mus musculus,NF1-METtcells,NA,syn4939910,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,NA,NA,NA,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,NA,NA,273948,PUBLIC,NA,NA,1679363327259,3421893,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1 - a clinical translational approach/Data/Whole Exome Sequencing of Mouse Samples/NF1-METtcells_R1.fastq.gz,file,1,syn8030946,syn8030946,syn4939910,14410663,NF1-METtcells_R1.fastq.gz,2754932905,a06da40a876a5869fe95a4f8d59983fb,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3345630/18d0d4e5-4fa1-4db9-9ff7-ad62ea5d8679/NF1-METtcells_R1.fastq.gz
syn8032761,NF1-METtcells_R2.fastq.gz,1484669524768,3345630,ccfdf52a-8ee6-4da7-8a1f-f96c95a28d2f,NA,whole exome sequencing,NA,Tissue did not pass QC checks,raw,genomicVariants,Neurofibromatosis type 1,fastq,NTAP,CRE Recombinase,knockout,"NF1,MET",NF1-MET,Francis S. Collins Scholars Program,No,No,No,TRUE,NF1-MET,-/-,+/+,skin,Illumina HiSeq 2500,experimentalData,NA,NA,Mus musculus,NF1-METtcells,NA,syn4939910,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,NA,NA,NA,NA,NA,NA,Malignant Peripheral Nerve Sheath Tumor,NA,NA,273948,PUBLIC,NA,NA,1679363327312,3421893,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1 - a clinical translational approach/Data/Whole Exome Sequencing of Mouse Samples/NF1-METtcells_R2.fastq.gz,file,1,syn8030946,syn8030946,syn4939910,14410737,NF1-METtcells_R2.fastq.gz,2847801876,2a0a5a9b3742594f2004b3eaf822171c,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3345630/70cd0108-48a6-491b-a602-857051630943/NF1-METtcells_R2.fastq.gz
syn8032771,NF1-METtg_R1.fastq.gz,1484669724322,3345630,78ece97e-ff35-4130-80c5-6452be4f3268,NA,whole exome sequencing,NA,NA,raw,genomicVariants,Neurofibromatosis type 1,fastq,NTAP,CRE Recombinase,knockout,"NF1,MET",NF1-MET,Francis S. Collins Scholars Program,No,No,No,TRUE,NF1-MET,-/-,+/+,skin,Illumina HiSeq 2500,experimentalData,NA,NA,Mus musculus,NF1-METtg,NA,syn4939910,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,NA,primary tumor,Mouse,primary tumor,skin,allograft,Malignant Peripheral Nerve Sheath Tumor,NA,NA,273948,PUBLIC,NA,NA,1679363327362,3421893,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1 - a clinical translational approach/Data/Whole Exome Sequencing of Mouse Samples/NF1-METtg_R1.fastq.gz,file,1,syn8030946,syn8030946,syn4939910,14410753,NF1-METtg_R1.fastq.gz,3143515857,908775ec86f407245dc4d117b8a5eac0,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3345630/2fc565ed-01ff-4e17-a5c1-061b8c08400a/NF1-METtg_R1.fastq.gz
syn8032780,NF1-METtg_R2.fastq.gz,1484669945343,3345630,2eef6e29-cf45-42bb-8a8b-28d4fde9f741,NA,whole exome sequencing,NA,NA,raw,genomicVariants,Neurofibromatosis type 1,fastq,NTAP,CRE Recombinase,knockout,"NF1,MET",NF1-MET,Francis S. Collins Scholars Program,No,No,No,TRUE,NF1-MET,-/-,+/+,skin,Illumina HiSeq 2500,experimentalData,NA,NA,Mus musculus,NF1-METtg,NA,syn4939910,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,NA,primary tumor,Mouse,primary tumor,skin,allograft,Malignant Peripheral Nerve Sheath Tumor,NA,NA,273948,PUBLIC,NA,NA,1679363327414,3421893,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1 - a clinical translational approach/Data/Whole Exome Sequencing of Mouse Samples/NF1-METtg_R2.fastq.gz,file,1,syn8030946,syn8030946,syn4939910,14410759,NF1-METtg_R2.fastq.gz,3249040958,586a3abf905aab1b0551e21f44e1b054,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3345630/a893744b-3863-45f3-8391-be0f17cedfb8/NF1-METtg_R2.fastq.gz
syn8032783,NF1-P53tg_R1.fastq.gz,1484670150785,3345630,88bbb32d-fbc9-4158-bbf5-6e511f58f6cb,NA,whole exome sequencing,NA,NA,raw,genomicVariants,Neurofibromatosis type 1,fastq,NTAP,NA,NA,NA,NF1-P53,Francis S. Collins Scholars Program,No,No,No,TRUE,NF1-P53,-/-,+/+,skin,Illumina HiSeq 2500,experimentalData,NA,NA,Mus musculus,NF1-P53tg,NA,syn4939910,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,NA,primary tumor,Mouse,primary tumor,skin,allograft,Malignant Peripheral Nerve Sheath Tumor,NA,NA,273948,PUBLIC,NA,NA,1679363327467,3421893,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1 - a clinical translational approach/Data/Whole Exome Sequencing of Mouse Samples/NF1-P53tg_R1.fastq.gz,file,1,syn8030946,syn8030946,syn4939910,14410760,NF1-P53tg_R1.fastq.gz,3042163830,fc3cd204a4bc3dc51d00976ee5884987,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3345630/7bc5d5f9-442b-409b-b3d6-9cb5584d1e65/NF1-P53tg_R1.fastq.gz
syn8032784,NF1-P53tg_R2.fastq.gz,1484670349533,3345630,e5202928-93c8-445c-8c8b-b98e463bea4b,NA,whole exome sequencing,NA,NA,raw,genomicVariants,Neurofibromatosis type 1,fastq,NTAP,NA,NA,NA,NF1-P53,Francis S. Collins Scholars Program,No,No,No,TRUE,NF1-P53,-/-,+/+,skin,Illumina HiSeq 2500,experimentalData,NA,NA,Mus musculus,NF1-P53tg,NA,syn4939910,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1: a clinical translational approach,NA,primary tumor,Mouse,primary tumor,skin,allograft,Malignant Peripheral Nerve Sheath Tumor,NA,NA,273948,PUBLIC,NA,NA,1679363327519,3421893,Targeting the mechanisms underlying cutaneous neurofibroma formation in NF1 - a clinical translational approach/Data/Whole Exome Sequencing of Mouse Samples/NF1-P53tg_R2.fastq.gz,file,1,syn8030946,syn8030946,syn4939910,14410764,NF1-P53tg_R2.fastq.gz,3138550314,caaaf6c48c8edcc3eac0a9271586b6b9,org.sagebionetworks.repo.model.file.S3FileHandle,proddata.sagebase.org,3345630/9297e66e-befe-4f5b-a63a-780a335a4bac/NF1-P53tg_R2.fastq.gz
